Date,VDA,LIG,PIE,LOM,VEN,TN,BZ,FVG,EMR,MAR,TOS,UMB,LAZ,ABR,MOL,CAM,BAS,PUG,CAL,SIC,SAR
2020-01-31,,,,,,,,,,,,,2,,,,,,,,
2020-02-06,,,,,,,,,,,,,1,,,,,,,,
2020-02-21,,,,15,(1) 2,,,,,,,,,,,,,,,,
2020-02-22,,,1,(1) 40,16,,,,2,,,,,,,,,,,,
2020-02-23,,,2,(1) 57,7,,,,7,,,,,,,,,,,,
2020-02-24,,,,(4) 61,7,,,,9,,,,,,,,,,,,
2020-02-25,,1,,(2) 67,(1) 11,,1,,8,,2,,,,,,,,,3,
2020-02-26,,10,,(1) 65,28,,,,(1) 21,1,,,,,,,,,,,
2020-02-27,,8,1,(5) 98,40,,,,50,2,,,,1,,3,,1,,1,
2020-02-28,,,9,(3) 128,40,,,,(1) 48,3,6,,,,,1,,2,1,,
2020-02-29,,23,,(6) 84,40,,,,(2) 72,5,3,,3,1,,9,,,,,
2020-03-01,,–17,38,(1) 369,72,,,6,(4) 68,14,2,2,,3,,4,,,,5,
2020-03-02,,–3,2,(14) 270,10,,,3,(3) 50,(1) 10,,,1,,,,,1,,–2,
2020-03-03,,(1) 2,5,(17) 266,(1) 34,4,,4,(7) 85,(1) 26,6,6,7,1,3,13,1,2,,,1
2020-03-04,,2,26,(18) 300,(3) 53,1,,5,(4) 124,(2) 23,19,1,16,1,,1,,(1) 3,,11,1
2020-03-05,2,(2) 2,(2) 26,(25) 431,(4) 47,2,,3,(8) 154,40,23,,14,1,4,14,,5,1,,
2020-03-06,5,4,(2) 35,(37) 361,(2) 81,3,3,10,(7) 172,35,18,7,(1) 10,1,5,12,2,3,2,6,3
2020-03-07,1,(1) 19,(1) 64,(19) 808,(1) 55,4,5,11,(11) 140,(2) 48,34,8,22,2,2,4,,(1) 9,,11,
2020-03-08,1,(2) 27,153,(113) 769,(5) 127,9,,(1) 15,(8) 170,(1) 65,53,2,(2) 11,6,,40,1,(1) 14,5,18,6
2020-03-09,6,(1) 31,(8) –10,(66) 1280,(2) 74,10,,36,(14) 206,(3) 51,(1) 42,2,(2) 15,13,,19,1,10,2,1,8
2020-03-10,2,(1) 32,(4) 103,(135) 322,(6) 112,19,29,(2) 23,(15) 147,(3) 71,56,9,(1) 14,(1) 8,1,7,2,9,2,8,1
2020-03-11,(1) 3,53,(4) 48,(149) 1489,(3) 167,25,37,(3) 10,(28) 206,(5) 85,56,9,34,,1,(1) 27,1,(2) 18,6,21,17
2020-03-12,7,(3) 80,(5) 79,(127) 1445,(3) 361,(1) 30,(1) 29,(2) 41,(33) 208,(4) 113,(4) 44,18,(3) 50,(1) 46,,25,,27,14,(2) 32,2
2020-03-13,1,(6) 71,(20) 260,(146) 1095,(10) 211,(1) 56,(1) 21,(2) 90,(55) 316,(5) 133,106,(1) 12,(2) 77,5,1,(1) 41,2,25,5,15,4
2020-03-14,14,(10) 118,(13) 33,(76) 1865,(13) 342,43,(1) 48,(3) 44,(40) 381,(9) 174,(1) 160,31,(2) 80,23,,(4) 52,,(3) 37,22,26,4
2020-03-15,15,(6) 96,(22) 238,(252) 1587,(8) 235,(4) 172,(2) 31,(1) 46,(43) 449,(10) 234,(2) 151,36,(3) 79,(1) 25,,(3) 61,1,(8) 64,(1) 8,32,(2) 30
2020-03-16,(1) 48,(17) 108,(30) 405,(202) 1377,(6) 301,,(1) 37,(8) 39,(62) 429,(11) 109,(6) 85,21,(3) 87,(1) 39,(1) 4,67,1,,21,25,30
2020-03-17,31,(10) 111,(22) 381,(220) 1571,(11) 231,(1) 7,(2) 50,(8) 8,(47) 409,(12) 129,(3) 187,33,(4) 84,(2) 53,4,60,8,(2) 110,25,(1) 24,10
2020-03-18,(1) 29,(13) 109,(21) 444,(319) 1493,(14) 510,70,(1) 85,(1) 68,(65) 594,(23) 197,(5) 277,(1) 50,(9) 117,(1) 34,3,,7,(1) 43,15,45,17
2020-03-19,(3) 50,(18) 172,(21) 591,(209) 2171,(21) 270,(5) 68,(5) 60,(5) 137,(73) 689,(23) 169,(16) 152,87,(6) 99,(4) 122,(1) 18,(8) 192,10,(6) 95,(2) 40,(1) 58,72
2020-03-20,(1) 49,(28) 162,(34) 529,(381) 2380,(16) 547,(1) 119,(3) 112,(2) 57,(109) 754,(22) 244,(9) 311,(5) 61,(5) 185,(6) 64,(3) 4,97,15,(1) 103,(1) 38,68,87
