country,region_name,region_label,density,population
italy,aosta_valley,vda,39,126933
italy,liguria,lig,290,1565349
italy,piedmont,pie,170,4377941
italy,lombardy,lom,420,10078012
italy,veneto,ven,270,4865380
italy,trentino,tn,87,539898
italy,south_tyrol,bz,72,530009
italy,friuli-venezia_giulia,fvg,150,1216524
italy,emilia-romagna,emr,200,4446220
italy,marche,mar,160,1541692
italy,tuscany,tos,160,3742437
italy,umbria,umb,110,889001
italy,lazio,laz,342,5898182
italy,abruzzo,abr,120,1307919
italy,molise,mol,70,308493
italy,campania,cam,430,5869029
italy,basilicata,bas,58,575902
italy,apulia,pug,210,4063888
italy,calabria,cal,130,1980533
italy,sicily,sic,200,5029675
italy,sar,sardinia,69,1651793
south_korea,Incheon,Incheon,2800,2953883
south_korea,Seoul,Seoul,16000,9733509
south_korea,Gyeonggi,Gyeonggi,1170,13526000
south_korea,Gangwon,Gangwon,90,1564615
south_korea,Gyeongbuk,Gyeongbuk,141,2700328
south_korea,Daegu,Daegu,2818,2489802
south_korea,Gyeongnam,Gyeongnam,327,3447687
south_korea,Busan,Busan,4400,3411829
south_korea,Ulsan,Ulsan,1100,1163690
south_korea,Chungbuk,Chungbuk,213,1578934
south_korea,Sejong,Sejong,592,275594
south_korea,Daejeon,Daejeon,2800,1508120
south_korea,Chungnam,Chungnam,235,2060871
south_korea,Jeonbuk,Jeonbuk,232,1869711
south_korea,Gwangju,Gwangju,3000,1490092
south_korea,Jeonnam,Jeonnam,142,1902324
south_korea,Jeju,Jeju,327,604771
brazil,alagoas,al,2,3483985
brazil,amazonas,am,2,3483985
brazil,bahia,ba,25,14016906
brazil,federal_district,df,440,2570160
brazil,espirito_santo,es,76,3514952
brazil,goias,go,18,7018354
brazil,minas_gerais,mg,33,19597330
brazil,pernambuco,pe,89,8796448
brazil,parana,pr,52,10444526
brazil,rio_de_janeiro,rj,383,15989929
brazil,rio_grande_do_norte,rn,60,3168027
brazil,rio_grande_do_sul,rs,39,11286500
brazil,santa_catarina,sc,71,6727000
brazil,sao_paulo,sp,183,41262199
brazil,mato_grosso_do_sul,ms,7,2449024
brazil,sergipe,se,99,2068017
brazil,acre,ac,5,733559
brazil,rondonia,ro,6,1562409
brazil,para,pa,6,7581051
brazil,roraima,rr,2,450479
brazil,amapa,ap,5,669526
brazil,tocantins,to,5,1383445
brazil,maranhao,ma,20,6574789
brazil,piaui,pi,12,3118360
brazil,ceara,ce,58,8452381
brazil,paraiba,pb,67,3766528
brazil,mato_grosso,mt,3,3035122
